letter,finger_thumb,finger_index,finger_middle,finger_ring,finger_pinky,angle_thumb_index,angle_index_middle,angle_middle_ring,angle_ring_pinky,dist_palm_thumb,dist_palm_index,dist_palm_middle,dist_palm_ring,dist_palm_pinky,dist_thumb_index,dist_thumb_middle,palm_orientation,index_middle_sep,thumb_cover_norm,four_fingers_up,thumb_between,extended_count_norm,finger_spread,palm_aspect,fist_compactness
A,1.0,0.0,0.0,0.0,0.0,0.37830889225006104,0.3748093545436859,0.5614901185035706,0.49313828349113464,1.385565996170044,0.8266112208366394,0.7553135752677917,0.6555641293525696,0.6398786306381226,0.559078574180603,0.659196674823761,-0.4658489525318146,0.046352189034223557,0.0,0.0,0.38935765624046326,0.20000000298023224,0.47016018629074097,0.615983784198761,0.7193418741226196
A,1.0,0.0,0.0,0.0,0.0,0.37637171149253845,0.3740273416042328,0.5629882216453552,0.4951125979423523,1.387068748474121,0.8322708606719971,0.7575050592422485,0.6545667052268982,0.6382264494895935,0.5548543334007263,0.6590662598609924,-0.46433737874031067,0.04905818775296211,0.0,0.0,0.3837226331233978,0.20000000298023224,0.4697062075138092,0.6168718934059143,0.7206422686576843
A,1.0,0.0,0.0,0.0,0.0,0.3776203989982605,0.3764927387237549,0.5593960881233215,0.4908561408519745,1.39231538772583,0.8352457284927368,0.7645002603530884,0.6645557880401611,0.6422334313392639,0.5570827722549438,0.6600685119628906,-0.4673061668872833,0.054929979145526886,0.0,0.0,0.37687236070632935,0.20000000298023224,0.474025696516037,0.6216967105865479,0.7266337871551514
A,1.0,0.0,0.0,0.0,0.0,0.3757915496826172,0.3734612464904785,0.5627933144569397,0.4948934316635132,1.3861838579177856,0.8248603940010071,0.7566120624542236,0.6587322950363159,0.6360207200050354,0.5613780617713928,0.6597595810890198,-0.46602320671081543,0.05047733709216118,0.0,0.0,0.3700788617134094,0.20000000298023224,0.4703369438648224,0.6121711730957031,0.7190563678741455
A,1.0,0.0,0.0,0.0,0.0,0.3760654330253601,0.3749571442604065,0.5599596500396729,0.4919086992740631,1.3962159156799316,0.8418141603469849,0.7691901922225952,0.6705605983734131,0.6487718820571899,0.5544145703315735,0.6606034636497498,-0.4646422863006592,0.044027652591466904,0.0,0.0,0.3731118440628052,0.20000000298023224,0.4728003144264221,0.622399091720581,0.7325841784477234
A,1.0,0.0,0.0,0.0,0.0,0.3746820092201233,0.37219855189323425,0.5641018152236938,0.4964658319950104,1.391126036643982,0.8341038227081299,0.7592234015464783,0.6578337550163269,0.6398758888244629,0.5570856332778931,0.6619998812675476,-0.46284398436546326,0.048539869487285614,0.0,0.0,0.37766990065574646,0.20000000298023224,0.4715563654899597,0.6180566549301147,0.7227592468261719
A,1.0,0.0,0.0,0.0,0.0,0.3749120533466339,0.37539947032928467,0.5625692009925842,0.49515190720558167,1.3932445049285889,0.8388679027557373,0.7656451463699341,0.6616652011871338,0.6417086124420166,0.5543791055679321,0.6594690084457397,-0.46558231115341187,0.050981804728507996,0.0,0.0,0.3588887155056,0.20000000298023224,0.4724135398864746,0.6157501935958862,0.7269717454910278
A,1.0,0.0,0.0,0.0,0.0,0.382576584815979,0.3781799077987671,0.5579484105110168,0.4889294505119324,1.4111385345458984,0.8422463536262512,0.7654712796211243,0.658765971660614,0.6475018858909607,0.5690914988517761,0.6741570234298706,-0.4698045551776886,0.04387393593788147,0.0,0.0,0.3826628029346466,0.20000000298023224,0.4821173846721649,0.6311674118041992,0.7284963726997375
A,1.0,0.0,0.0,0.0,0.0,0.3829948604106903,0.3784213960170746,0.5582147240638733,0.48920953273773193,1.4226040840148926,0.8371071219444275,0.7618746161460876,0.6559045314788818,0.6441482901573181,0.5857068300247192,0.6880632638931274,-0.46915313601493835,0.05154457688331604,0.0,0.0,0.38493403792381287,0.20000000298023224,0.4855053126811981,0.6354073882102966,0.7247586250305176
A,1.0,0.0,0.0,0.0,0.0,0.3813556730747223,0.37976351380348206,0.5584375858306885,0.4909919202327728,1.4190819263458252,0.8419617414474487,0.7678571939468384,0.6606540083885193,0.6469331383705139,0.577146053314209,0.6804121136665344,-0.4690513014793396,0.055308613926172256,0.0,0.0,0.3732565939426422,0.20000000298023224,0.48151329159736633,0.6294271349906921,0.7293515205383301
